id	house_id	cancellation_policy	transit	host_response_time	amenities
	1	moderate		within a few hours	TV, Cable TV ,Internet, Wireless Internet , Air Conditioning ,Kitchen,Heating, Family/Kid Friendly ,Washer,Dryer
	2	strict	Convenient bus stops are just down the block, if you're headed downtown or further afield to explore. Zip cars are also strategically located on Queen Anne hill.	within an hour	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Buzzer/Wireless Intercom ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Safety Card , Fire Extinguisher ,Essentials
	3	strict	A bus stop is just 2 blocks away.  Easy bus access to all the sites: Lower Queen Anne, Seattle Center, The Space Needle, Experience Music Project, Chihuly Glass Museum, Pacific Science Center and more.	within a few hours	TV, Cable TV ,Internet, Wireless Internet , Air Conditioning ,Kitchen, Free Parking on Premises , Pets Allowed , Pets live on this property ,Dog(s),Cat(s), Hot Tub , Indoor Fireplace ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector ,Essentials,Shampoo
	4	flexible		N/A	Internet, Wireless Internet ,Kitchen, Indoor Fireplace ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , Safety Card , Fire Extinguisher ,Essentials,Shampoo
	5	strict	The nearest public transit bus (D Line) is 2 blocks away next to the Whole Foods Market on 15th Ave. W. Downtown is a 15 minute bus ride or a 7 minute drive. The light rail located at Westlake Center in downtown runs to the airport. Parking: street parking is available - unlimited and no zoning	within an hour	TV, Cable TV ,Internet, Wireless Internet ,Kitchen,Heating, Family/Kid Friendly , Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo
	6	strict	The #1 and #2 bus picks up 2-3 blocks away (different directions). They both go downtown to Westlake.	N/A	Wireless Internet , Free Parking on Premises ,Heating, Smoke Detector ,Essentials,Shampoo
	7	moderate	The bus goes through the lower Queen Anne neighborhood past Seattle Center and to downtown. From downtown you can catch the light rail to the airport or ride a ferry. It is harder to bike around our neighborhood because there are a lot of hills. Given the hills, we are within biking distance of the Burke Gilman Trail and Seattle is a bike friendly city. Our street is level from the house to the bus stops. You can always put your bike on the bus.	within an hour	Wireless Internet , Free Parking on Premises ,Heating, Smoke Detector , First Aid Kit ,Essentials,Shampoo
	8	strict	the D line runs out in front of our house .	within an hour	Wireless Internet , Pets live on this property ,Dog(s),Heating, Family/Kid Friendly ,Essentials,Shampoo
	9	strict	Bus stop to downtown directly across the street: Request a stop at the West Lee Street location (for your return to the apartment) 10 minute walk to downtown 5 Uber to downtown Limited off-street parking (If needed, please inquire for further instruction)	N/A	TV, Cable TV ,Internet, Wireless Internet ,Kitchen,Breakfast, Indoor Fireplace ,Heating,Washer,Dryer, Smoke Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo
	10	strict	Convenient bus stops are just down the block, if you're headed downtown or further afield to explore. Zip cars are also strategically located on Queen Anne hill.	within an hour	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Buzzer/Wireless Intercom ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Safety Card , Fire Extinguisher ,Essentials
	11	moderate	The bus stop is just two blocks from our house and goes directly downtown.	within a few hours	TV, Cable TV ,Internet, Wireless Internet ,Kitchen, Free Parking on Premises ,Heating,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Safety Card , Fire Extinguisher ,Essentials,Shampoo, 24-Hour Check-in ,Hangers, Hair Dryer ,Iron, Laptop Friendly Workspace
	12	strict	Yes, bus stops just 2-3 blocks away.	within a few hours	TV, Cable TV , Wireless Internet ,Kitchen, Free Parking on Premises , Indoor Fireplace ,Heating, Smoke Detector , Carbon Monoxide Detector , Fire Extinguisher ,Essentials,Shampoo
	13	moderate	#1 bus is one block from the house to downtown and back. Once downtown, connect to other transit routes and light rail.  Street parking is available. From airport, it's about 30-40 min drive north depending on traffic, or light rail to downtown.	within an hour	TV, Cable TV ,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Buzzer/Wireless Intercom ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo
	14	strict	Street parking only. From West Prospect, park on the cobble stone street and walk approximately 16 steps to home. The #1 bus stop is about one block down the hill. Walk five blocks east to the famed Kerry Park to enjoy postcard perfect views of downtown. Walk one block North to enjoy yet another famed Seattle view of Puget Sound and Olympic Mountains. Queen Anne Avenue is close by, with endless shopping possibilities, as well as grocery stores such as Trader Joe's. Or just head into the South Queen Anne neighborhood and to the Seattle Center or Downtown. At this home, you are in the heart of it all!!	within an hour	TV, Cable TV ,Internet, Wireless Internet ,Kitchen,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Safety Card , Fire Extinguisher ,Essentials,Shampoo
	15	strict	Hwy 99 and the 5 freeway are both easy to get to from Queen Anne, and Parking is free on the streets near the house. No parking permit is required, (although this is not the case in all of Queen Anne or most other close in neighborhoods in Seattle so be sure to look at the signs) There are several bus lines to take you anywhere you need to go in the city within a 3 block radius, or you can easily get a service like Uber :)	within an hour	TV, Cable TV ,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Indoor Fireplace ,Heating, Family/Kid Friendly , Suitable for Events ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Safety Card , Fire Extinguisher ,Essentials,Shampoo
	16	strict	You will be 2 blocks from the Metro stop. On the same corner you will find Muse Coffee, Red Square Yoga and the Ice Box-a great little breakfast and lunch spot that also sells wine, produce, bread, cheese and essentials. On the Metro, you are 2 minutes to the Space Needle and Seattle Center and 5 minutes to downtown Seattle.	within a few hours	TV, Cable TV ,Internet,Kitchen, Free Parking on Premises ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , Fire Extinguisher ,Essentials
	17	moderate	Taxi: Uber, Sidecar, and Lyft are all available in Seattle. They're usually less expensive than taxis, but you'll need to download the apps to your smartphone in order to use them. You can get your first ride for free up to 20 by using the code uvgmm for Uber or libby111 for Lyft! Bus: There are bus stops all over - the closest ones are less than 5 mins walking. The cost is 20, cash only. Monorail/Light Rail: The monorail at the Space Needle is 15 mins walking, and that will take you to 5th x Pine downtown for 2 (cash only). From there you can cross the street to the light rail station for quick and cheap access to the stadiums, Amtrak station, and airport. The light rail kiosks accept both cash and credit cards. Bike: Seattle now has a bike share program called Pronto. 24 hour passes are 8, and 3-day passes are 16. The nearest kiosk is at Key Arena, which is a 15 minute walk.	within an hour	Internet, Wireless Internet , Pets Allowed ,Breakfast, Pets live on this property ,Cat(s),Heating,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit ,Essentials,Shampoo
	18	moderate	Our central location means quick access to all surrounding neighborhoods and further destinations. The bus routes go through lower Queen Anne by Seattle Center and Key Arena, to Pikes Market and downtown, where you can catch the light rail to the airport or ride a ferry. Car2go, Uber and cab service readily available. Restaurants, food and shops within walking distance. Seattle is a bike friendly city and Queen Anne is accessible to the Burke Gilman Trail and Lake Union.	within an hour	Wireless Internet , Free Parking on Premises ,Heating, Smoke Detector , Carbon Monoxide Detector , Fire Extinguisher ,Essentials,Shampoo
	19	flexible		N/A	TV, Cable TV ,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Pets live on this property ,Dog(s), Indoor Fireplace , Buzzer/Wireless Intercom ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo
	20	flexible	Easy bus access to all the sites: Lower Queen Anne, Seattle Center, The Space Needle, Experience Music Project, Chihuly Glass Museum, Pacific Science Center and more.	N/A	TV, Cable TV , Wireless Internet ,Kitchen, Free Parking on Premises , Pets Allowed , Pets live on this property ,Dog(s),Cat(s), Indoor Fireplace ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Shampoo
	21	flexible		within a few hours	Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Pets Allowed , Elevator in Building ,Heating, Smoke Detector , Carbon Monoxide Detector ,Essentials,Shampoo
	22	moderate	Metro Transit Bus #13 takes you to downtown Seattle in just 15 minutes and buses run every 20-30 minutes!	within an hour	Cable TV ,Internet, Wireless Internet , Free Parking on Premises , Pets live on this property ,Heating, Family/Kid Friendly ,Dryer, Smoke Detector , First Aid Kit ,Essentials,Shampoo
	23	flexible	The bus stop is 3 blocks away. You are an easy ride to everywhere.	within a day	TV, Wireless Internet ,Kitchen, Free Parking on Premises , Indoor Fireplace ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , Safety Card , Fire Extinguisher
	24	flexible	Our home is conveniently located within walking distance of downtown Seattle, the historic waterfront, and Pike Place Market. The number one bus stops at the end of our block, with easy access to downtown and the south end, plus convenient connections to Capitol Hill, the University District, and Ballard. Uber and Lyft also make transportation a breeze, and there is ample street parking on our block. We also have several mountain bikes at the house if you're feeling adventurous and would like to tour the city on two wheels!	N/A	Internet, Wireless Internet , Air Conditioning , Free Parking on Premises , Pets Allowed ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Safety Card , Fire Extinguisher ,Essentials,Shampoo, Lock on Bedroom Door , 24-Hour Check-in ,Hangers, Laptop Friendly Workspace
	25	moderate	10th Avenue West is on the bus line taking you downtown Seattle.	N/A	TV, Cable TV , Wireless Internet ,Kitchen, Free Parking on Premises , Indoor Fireplace ,Heating,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector ,Essentials
	26	strict	A bus stop is just 2 blocks away.  Easy bus access to all the sites: Lower Queen Anne, Seattle Center, The Space Needle, Experience Music Project, Chihuly Glass Museum, Pacific Science Center and more.	within a few hours	TV, Cable TV , Wireless Internet , Air Conditioning , Wheelchair Accessible ,Kitchen, Free Parking on Premises , Indoor Fireplace ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector ,Essentials,Shampoo
	27	flexible	There are several bus routes a few short steps away, and shops, cafes, grocery stores...everything within a few minutes' walk.	within a few hours	Cable TV , Wireless Internet ,Kitchen, Free Parking on Premises ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , First Aid Kit ,Essentials,Shampoo,Hangers
	28	strict	We are on the D bus line. If you are busing from the airport DO NOT take the #1 or you will have a long way to walk.	within an hour	Wireless Internet , Pets live on this property ,Dog(s),Heating, Family/Kid Friendly ,Essentials
	29	moderate	You have on-site parking if you have a car. If not the bus is across the street, and there is also a City Bike station 8 minute walk from the property. You are very centrally located and everything is so close.	within an hour	TV, Cable TV , Wireless Internet ,Kitchen, Free Parking on Premises , Indoor Fireplace ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , First Aid Kit , Fire Extinguisher ,Shampoo,Hangers, Hair Dryer ,Iron, Laptop Friendly Workspace
	30	strict	There is a very convenient bus line a block away that will take you anywhere in the city. In the neighborhood, there is plenty of free street parking.	within an hour	TV, Cable TV , Wireless Internet , Wheelchair Accessible ,Kitchen, Indoor Fireplace , Buzzer/Wireless Intercom ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector ,Essentials,Shampoo
	31	strict	Convenient bus stops are just down the block, if you're headed downtown or further afield to explore. Zip cars are also strategically located on Queen Anne hill.	within an hour	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Essentials
	32	strict	Public transportation is only a short walk from the house, and taxi's are very reasonable to downtown	within a few hours	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher
	33	flexible	200 feet to bus stop	within a day	TV, Cable TV ,Internet, Wireless Internet ,Kitchen, Free Parking on Premises ,Heating,Washer,Dryer, Smoke Detector , First Aid Kit ,Essentials,Shampoo, 24-Hour Check-in ,Hangers, Laptop Friendly Workspace
	34	strict	Public transport is available next street and is accessible to downtown very easily.	within an hour	TV, Cable TV ,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Pets Allowed , Indoor Fireplace ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector ,Essentials,Shampoo
	35	strict	Transportation: If you aren't planning on renting a car (not necessary in my mind) we have some great options.  Airport Car Service: ABC Transport (phone number hidden) The dispatchers could not be nicer and the rate is flat 35 (tip not included) to and from Seatac Airport. The cars are huge old town cars and the drivers can be a bit rough around the edges but I've used them countless times. They are absolutely always on time both coming and going, and the extra trunk space for suit cases is great. It is CHEAPER to use this service than to take a cab. Just FYI. Around Seattle: UBER CAR SERVICE The Uber app connects you to a driver at the tap of a button. Once the app is installed on your phone you can pull up a map to see the cars in your area. When you install the app you will put in your payment information. Once ready for a car simply pull up the app, drop a pin at your location, and wait for a car in the area to confirm they will pick you up. You will get a text messag	within an hour	TV, Cable TV ,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Pets Allowed , Pets live on this property ,Dog(s),Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo
	36	moderate	Close to multiple bus stops. Bike storage. Designated parking space at building. Active UBER location.	within an hour	TV, Cable TV ,Internet, Wireless Internet , Air Conditioning ,Kitchen, Free Parking on Premises ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , Fire Extinguisher ,Essentials,Shampoo
	37	strict	The location is hard to beat with all the best things the neighborhood has to offer within easy walking distance: just three blocks from Queen Anne's main drag with it's great array of shops, cafes and restaurants and five blocks from the most famous picture-postcard lookout point of the city skyline at Kerry Park. Two to three blocks from multiple bus stops with access to downtown. Ample on street parking with the option to park on the drive.	within a day	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises ,Dog(s),Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector ,Essentials,Shampoo
	38	flexible	Bus stops less than a 3 minutes walk from the house that'll take you straight downtown in 10-20 mins (depending on what area you're headed). Street parking available right outside.	a few days or more	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises ,Heating,Washer,Dryer, Smoke Detector , First Aid Kit ,Essentials
	39	moderate	We are located close to 2 main bus stops, we have designated off street parking for this unit, and this is an active UBER location.	within an hour	TV, Cable TV ,Internet, Wireless Internet ,Kitchen, Free Parking on Premises ,Heating, Family/Kid Friendly ,Washer,Dryer,Essentials,Shampoo
	40	flexible	The area is very walkable, though there is a bus line (bus #13) that stops only a few feet away that goes downtown.	within a few hours	TV, Cable TV ,Internet, Wireless Internet ,Kitchen, Free Parking on Premises ,Heating,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo, 24-Hour Check-in ,Hangers, Hair Dryer ,Iron, Laptop Friendly Workspace
	41	moderate	Buses are right around the corner. An Uber X ride downtown is around 5-7. This is also within the Car-to-go service area, with many vehicles parked within the neighborhood. There is also a dedicated parking space steps from the front door, as well as plenty of on-street parking.	within an hour	TV, Cable TV ,Internet, Wireless Internet ,Kitchen, Free Parking on Premises ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector ,Essentials,Shampoo,Hangers, Hair Dryer ,Iron, Laptop Friendly Workspace
	42	strict	Le Bijou of Queen Anne is 1/2 block from the bus stop and within easy walking distance of lower and upper Queen Anne, Seattle Center, The Gates Foundation and a short hop to South Lakes Union, and all of Seattle's many attractions while providing the ultimate privacy and comfort in a beautiful setting. For longer distances, a car is recommended.	within a few hours	TV,Internet, Wireless Internet ,Kitchen, Indoor Fireplace ,Heating, Smoke Detector , Carbon Monoxide Detector , Fire Extinguisher ,Essentials,Shampoo
	43	moderate	We are conveniently located within a block to a major bus line, and within blocks to four other bus lines. Parking for cars is limited to street parking. Without a car our home is easily accessible from the airport via light rail and bus, or taxi. Allow for approx 45 minutes. With a car it is a 25-30 minute drive from the airport, depending on traffic, which can be terrible. We highly recommend leaving your car behind if you can! Between the bus, UBER, and Car2GO, you don't really need a car!	N/A	TV, Cable TV ,Internet, Wireless Internet ,Kitchen, Pets Allowed , Hot Tub , Indoor Fireplace ,Heating,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo
	44	moderate	The house is 2 blocks from Queen Anne Avenue and a great selection of boutiques, restaurants, coffee shops and grocery stores. • One block to a bus stop with express service downtown. • 10-minute walk (or 5-minute bus ride) to Lower Queen Anne, Seattle Center, The Space Needle, Experience Music Project, Chihuly Glass Museum, Pacific Science Center, Monorail Terminal, Key Arena, Seattle Repertory Theater, Pacific Northwest Ballet, Seattle Opera, Seattle Children's Theater, On The Boards, SIFF Theater, The Gates Foundation and more.	within an hour	TV, Cable TV , Wireless Internet ,Kitchen,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Safety Card , Fire Extinguisher ,Essentials,Shampoo
