id	house_id	cancellation_policy	transit	host_response_time	amenities
	100	strict	A half block walk brings you to a bus line that whisks you to downtown Seattle.	within a few hours	TV, Wireless Internet ,Kitchen,Heating, Family/Kid Friendly , Smoke Detector , Carbon Monoxide Detector , Fire Extinguisher ,Essentials,Shampoo, 24-Hour Check-in ,Hangers, Hair Dryer ,Iron, Laptop Friendly Workspace
	101	moderate	There is a bus stop probably 2 minutes walk from the door. I don't use it, so I can't say much more than that. I use Lyft and Uber all the time, and they work GREAT when I don't want to drive! There are always spots either in the parking lot of the apartment complex, or in the spots on the street just outside.	N/A	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises ,Heating,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector ,Essentials,Shampoo
	102	moderate		within a few hours	TV, Cable TV ,Internet, Wireless Internet , Free Parking on Premises , Hot Tub ,Heating, Family/Kid Friendly , Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo, 24-Hour Check-in ,Hangers, Hair Dryer ,Iron, Laptop Friendly Workspace
	103	moderate	This townhouse is on bus line.	within an hour	TV, Cable TV ,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Indoor Fireplace ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit ,Essentials,Shampoo
	104	strict		within an hour	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises ,Gym, Indoor Fireplace ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher
	105	moderate	Area is super bike friendly and you may rent bike at nearby Dutch Bike . Also bus stop a couple blocks away that will take you straight into downtown or Pike Place Market. 'Car 2 Go' is an app that is super popular in Seattle and we always have available cars parked in the neighborhood. Both Uber & Lyft are great options as well.	within a few hours	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises ,Heating,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo, 24-Hour Check-in ,Hangers, Hair Dryer ,Iron, Laptop Friendly Workspace
	106	strict		within an hour	TV,Internet, Wireless Internet , Air Conditioning ,Kitchen,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector ,Essentials
	107	strict	Close to the main bus line to Downtown Seattle and walking distance to the vibrant downtown Ballard shops and restaurants.	within a day	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Pets Allowed , Indoor Fireplace ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Fire Extinguisher ,Essentials,Shampoo
	108	moderate	It's a 10-minute walk to the heart of Ballard. Bus to downtown Seattle is less than a block away. Getting to the express bus (runs more frequently) to Seattle Center and downtown is a 10-block walk.	within a few hours	Cable TV ,Internet, Wireless Internet ,Kitchen, Pets live on this property ,Dog(s),Heating, Smoke Detector , Carbon Monoxide Detector ,Essentials,Shampoo,Hangers, Hair Dryer
	109	flexible	Nearby bus lines provide a 17 minute downtown access, 30 minutes to the airport. street parking when available. A covered pay lot is across the street	within an hour	TV, Cable TV ,Internet, Wireless Internet , Air Conditioning ,Kitchen, Buzzer/Wireless Intercom ,Heating,Washer,Dryer, Smoke Detector , First Aid Kit , Fire Extinguisher ,Essentials
	110	moderate	Bus 18 is just around the corner and takes you to downtown Seattle in 15-20 mins. You can also take bus 40 to go to Fremont, another popular area in Seattle, definitely recommend seeing Gas Works Park. If you need to Uber back from downtown, it's 5 miles and would cost you 12-15. Here is the link to trip planner for Seattle transport: (URL HIDDEN)	within an hour	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Elevator in Building ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Safety Card , Fire Extinguisher ,Essentials,Shampoo
	111	moderate	A bus stop from which you can be whisked swiftly into downtown Seattle is but a two minute walk away from our house. The bus from here goes directly to many of the top attractions, including the Needle, the Science Centre and Pike Market. The return bus runs until 1am and often later at weekends. Parking is free on our street or you can use our garage for 5 per night.	within a few hours	TV,Internet, Wireless Internet ,Kitchen, Pets live on this property ,Dog(s), Indoor Fireplace ,Heating,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo
	112	flexible	Seattle has lots of Uber drivers and smart cars to rent for short drives around town.	within a day	Internet, Wireless Internet ,Kitchen,Gym, Elevator in Building ,Heating,Washer,Dryer,Essentials
	113	moderate		within a day	TV, Wireless Internet , Wheelchair Accessible ,Kitchen, Free Parking on Premises ,Gym, Elevator in Building ,Heating, Family/Kid Friendly ,Dryer, Smoke Detector , Carbon Monoxide Detector ,Essentials,Shampoo
	114	moderate	Two express buses into downtown stop only one block away, along with another bus with direct service to the University District. During non-peak hours there is a local bus that will take you from downtown to two blocks away anytime of the day. Parking is available on the street. It can get a bit crowded, but you can almost always find a spot within a block or two.	within an hour	TV,Internet, Wireless Internet ,Kitchen,Heating,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector ,Essentials,Shampoo
	115	strict	2 blocks to the bus	N/A	TV, Cable TV ,Internet, Wireless Internet , Free Parking on Premises ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector ,Shampoo
	116	moderate		within an hour	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Pets live on this property ,Cat(s),Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo, 24-Hour Check-in ,Hangers, Hair Dryer ,Iron, Laptop Friendly Workspace
	117	flexible	Walking to bars, restaurants, shopping and grocery stores. Rapid ride D Line to Downtown and other lines to Fremont and U-district.	within a few hours	TV, Wireless Internet ,Kitchen, Pets Allowed , Pets live on this property ,Dog(s),Heating,Washer,Dryer, Smoke Detector , First Aid Kit ,Essentials,Shampoo, 24-Hour Check-in ,Hangers, Hair Dryer ,Iron
	118	flexible	The 44 bus stops right in front of my apartment complex	within an hour	
	119	flexible	There are buses within 2 blocks that go downtown and west to the U District. Uber serves this area.	N/A	TV, Cable TV , Wireless Internet ,Kitchen, Pets live on this property ,Cat(s),Heating,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , Safety Card , Fire Extinguisher ,Essentials,Shampoo, 24-Hour Check-in ,Hangers, Hair Dryer ,Iron
	120	moderate	If you are staying in Ballard almost everything is in walking distance of the house. There are plenty of retail shops, grocery stores, pharmacies, restaurants, coffee shops and bars. To get towards the Puget Sound just drive west on Market Street. It is about 2 miles to the marina, and 2.6 miles to Golden Gardens--our local beach front area. Our street is part of the neighborhood Green Way so if you want to get to the beach via bike (or foot) just walk west on our block until you hit Golden Gardens. If you need to get downtown via public transit walk 2 blocks to the bus stop of 15th Ave NW and Market St. to board the D Line Rapid Ride bus. The bus arrives every 10-15 minutes and is only a 15 minute ride to Pike Place Market. The D will go further into downtown Seattle if needed. If you want to take public transit to Sea-Tac airport you can take the D line downtown and then transfer to the Link Light Rail station which is located underground in the downtown area (the train ends di	within a few hours	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Indoor Fireplace ,Heating,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , Fire Extinguisher ,Essentials,Shampoo
	121	moderate	There is a dedicated parking spot in the back off the alley and it is 2 blocks from 15th Ave and a D-line RapidRide stop taking you right to the University or downtown.	within an hour	TV, Cable TV ,Internet, Wireless Internet , Wheelchair Accessible ,Kitchen, Free Parking on Premises , Pets Allowed ,Heating, Family/Kid Friendly , Suitable for Events ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , Fire Extinguisher ,Essentials,Shampoo, 24-Hour Check-in ,Hangers, Hair Dryer ,Iron, Laptop Friendly Workspace
	122	flexible		within a day	Internet, Wireless Internet ,Kitchen, Pets Allowed ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector ,Essentials
	123	strict	We are 3 walking blocks from the center of Ballard with loads of dining choices, music venues, pub crawling and shopping. 2 walking blocks to grocery stores, pharmacies and bus stop. For those here on business, we are 1 blocks from the 15th Ave D-Line express bus stop to downtown Seattle. Car2Go is also a good option with no parking fees. There is free street parking. And we are 1 block from 2 full grocery stores and 2 pharmacies. The Ballard locks is entertaining with a nice park. Great place to watch the salmon run if your timing is right. Shilshole and Golden Gardens are on the water and a great place to watch the sunset. They are a short drive away or a great 1hr round trip walk for exercise.	within a day	TV,Internet, Wireless Internet ,Kitchen, Indoor Fireplace ,Heating,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , Fire Extinguisher ,Essentials,Shampoo
	124	strict	Public Metro transportation to Seattle and other destinations is plentiful. Car2Go area, Zip Car nearby. Uber.	within a few hours	TV, Wireless Internet ,Kitchen, Free Parking on Premises ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , First Aid Kit , Safety Card , Fire Extinguisher ,Essentials
	125	flexible		within a day	Internet, Wireless Internet ,Kitchen,Heating,Washer,Dryer, Smoke Detector , Fire Extinguisher ,Essentials
	126	strict	A half block walk brings you to a bus line that whisks you to downtown Seattle. We can give you information about a bike delivery service if you would like to have bikes for your stay. If you bring a car with you, there are a couple parking spots in the driveway and ample street parking for additional vehicles.	within a few hours	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Hot Tub ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , Fire Extinguisher ,Essentials,Shampoo, 24-Hour Check-in ,Hangers, Hair Dryer ,Iron, Laptop Friendly Workspace
	127	moderate	Public transport in Seattle is mainly by bus. For information on routes and schedules consult (website hidden)	within an hour	Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Pets live on this property ,Cat(s), Hot Tub ,Heating, Smoke Detector , Fire Extinguisher ,Essentials,Shampoo
	128	moderate	There is excellent public transportation close by. All the major bus lines from Ballard to downtown and the University District are within a few blocks. QFC (24 hours supermarket) is around the corner. Plenty of restaurants/bars/shops on Market Street (5 min walk).	within an hour	Internet, Wireless Internet , Pets live on this property ,Cat(s),Heating, Smoke Detector , Carbon Monoxide Detector ,Essentials,Shampoo
	129	moderate	• A 5 minute walk to 4 bus lines bus • A 15 minute walk to 15 & the rapid D line bus	within an hour	TV, Wireless Internet ,Heating, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Safety Card , Fire Extinguisher ,Essentials,Shampoo
	130	moderate	The bus stop to downtown Seattle is half a block away, it will take about 25min by bus or 15min by car to get close to Pike Place Market and other downtown attractions.	within a few hours	Wireless Internet ,Kitchen, Free Parking on Premises , Pets live on this property ,Dog(s),Heating,Essentials,Shampoo
	131	moderate		within a few hours	TV,Internet, Wireless Internet , Air Conditioning ,Kitchen, Pets Allowed , Pets live on this property ,Heating,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit ,Essentials,Shampoo, Hair Dryer ,Iron, Laptop Friendly Workspace
	132	moderate	Yes! Buses everywhere!! The 15, D, (PHONE NUMBER HIDDEN), all just a few blocks away. And there's Burke Gilman not far off if you're biking. You can also find Car2Go, Uber, and Zipcar around Ballard too.	within a day	TV, Cable TV ,Internet, Wireless Internet ,Kitchen,Gym, Indoor Fireplace ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , First Aid Kit , Fire Extinguisher ,Essentials
	133	flexible	There are two bus lines across the street. Should you have a car there's free off-street parking. Also close to Interstate 5 and Highway 99.	within a few hours	TV, Cable TV ,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Pets live on this property , Elevator in Building ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector
	134	moderate	King County Metro transit has stops within a couple of blocks taking you into downtown Ballard or the University District, and the D line to downtown Seattle is a block away. Parking on market St is currently 1 per hour between 8AM and 6PM, at the end of the block on 17th Ave NW there is a 2 hour time limit on the free parking. Read the signs, as some spots are free, others have time limits on NW 56th St. You should also check out Car2go if you have the time to get an account set up!	within an hour	Wireless Internet ,Kitchen,Heating, First Aid Kit , Fire Extinguisher ,Essentials,Shampoo,Iron
	135	moderate	If you really must leave Ballard, the bus stop is not even 2 minutes away.	within a few hours	TV, Cable TV ,Internet, Wireless Internet , Pets live on this property ,Heating, Family/Kid Friendly , Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo, Lock on Bedroom Door , 24-Hour Check-in ,Hangers, Hair Dryer
	136	moderate	We could go on and on, but we'll leave it at this: in about half a mile, hop on the Burke Gilman hiking and biking trail, and ride through U-Dub and all the way around Lake Washington. Or...do as the locals do: catch the city bus and arrive in the heart of downtown Seattle in 22 minutes flat.	within an hour	TV,Internet, Wireless Internet ,Kitchen,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector ,Essentials
	137	moderate	There are hills in the area and we are halfway up a hill with views toward downtown Ballard. A giant hill separates us from upper Fremont Ave (which a map does not illustrate) but it is walkable down 3rd to Leary. Bus transportation on the line (44) between downtown Ballard and the U-District/Capitol Hill but the 28 to downtown is also accessible (just a longer walk to the stop).	within a day	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises ,Heating,Washer,Dryer, Smoke Detector , Fire Extinguisher ,Essentials
	138	strict	Yes, bus #5 up the hill is the closest	within a few hours	Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Pets live on this property ,Dog(s),Heating
	139	moderate	Right on major bus lines. Plentiful unrestricted street parking right in front of the house.	within an hour	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Pets Allowed ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo, 24-Hour Check-in ,Hangers, Hair Dryer ,Iron, Laptop Friendly Workspace
	140	strict	A major bus line, the 28, stops 1/2 block from our house and will get you downtown in 20 minutes. You can also walk to Market and 15th to catch the Rapid Ride express bus to downtown. Easy to walk almost everywhere in Ballard from our house. Our favorite way to get around when not walking or driving is calling a Lyft or Uber through their phone app. Pick up is very quick here. It only costs about 5 to take a Lyft/Uber to downtown Ballard from our house, and you can always decide to stroll home later if you feel like a walk after dinner. That's also a great way to get to/from the airport (roughly 30-35).	within an hour	Internet, Wireless Internet , Free Parking on Premises , Pets Allowed , Pets live on this property ,Heating, Family/Kid Friendly ,Washer,Dryer, Fire Extinguisher ,Essentials,Shampoo
	141	strict		within a few hours	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises ,Heating,Washer,Dryer
	142	strict	Yes - very close to bus lines downtown Seattle, or you can walk to central Ballard in under 10 minutes.	within an hour	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Pets live on this property ,Dog(s), Indoor Fireplace ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit ,Essentials,Shampoo, 24-Hour Check-in ,Hangers, Hair Dryer , Laptop Friendly Workspace
	143	strict	The Rapid Ride D-line picks up two blocks from the house and takes you right past the Space Needle and into downtown Seattle.	N/A	TV, Cable TV ,Internet, Wireless Internet ,Kitchen,Heating,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , Fire Extinguisher ,Essentials
	144	moderate	The RapidRide bus heading downtown is just half a block away from our house. Buses heading to Fremont, Wallingford, and University District are about a five minute walk away. Uber, Lyft, and Car2Go are also great ways to get around. If you have a car, parking is free and readily available on the street all around the neighborhood.	within an hour	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Indoor Fireplace ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit ,Essentials,Shampoo
	145	flexible	Walkscore rates my neighborhood as highly walkable, letting you accomplish most of your errands on foot. You don't need a car to stay here! As I mentioned before, this house is in the heart of the Ballard, and you can walk to the many shops and restaurants all over the neighborhood. If you want to go to downtown Seattle, you can walk a few blocks from my house to Seattle's Rapid Ride, Route D which leaves for downtown every 15 minutes or so. Just like a subway, it's so frequent, you don't even need to look at the schedule! I would be happy to help you get to the bus stop and explain how to get downtown.	within a few hours	TV,Internet, Wireless Internet , Air Conditioning ,Kitchen, Free Parking on Premises ,Gym,Heating,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo, 24-Hour Check-in , Hair Dryer , Laptop Friendly Workspace
	146	flexible	I live conveniently right off of Market St in Ballard which is the main artery through Ballard and elsewhere. You can pick up the #44 which will take you west to downtown Ballard or east to Capital Hill. A block away on 5th Ave you can take #5 which will take you straight downtown. Other options of getting around are Uber, Car2go, and Zipcar. If you have a car parking on the street in free.	a few days or more	Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Pets live on this property ,Dog(s),Heating,Washer,Dryer,Essentials
	147	flexible		N/A	Internet, Wireless Internet ,Kitchen, Free Parking on Premises ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Fire Extinguisher ,Essentials
	148	strict	There is a bus 2 blocks away that will take you straight downtown in 20-25 minutes. You can bike to the Burke-Gilman trail in under 5 minutes. There is plenty of street parking.	within an hour	TV,Internet, Wireless Internet , Air Conditioning ,Kitchen, Free Parking on Premises ,Heating,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo,Hangers,Iron
	149	moderate	We are right on the bus line for downtown Seattle or the University District. The bus is my only mode of transportation, so I can help get you around. For those who prefer to bike, we are near the Burke-Gilman Trail, which connects the entire city of Seattle by foot/bike path. Other options are Lyft, Car2Go and Uber, all available in our neighborhood.	within a day	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Pets live on this property ,Dog(s),Heating, Family/Kid Friendly , Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo