,house_name,host_name,host_is_super,host_image,address,latitude,longitude,room_type,bath_count,bed_room_count,bed_count,original_price,sale_price,cleaning_fee,review_count,rate,adult_count,child_count,infant_count,guest_count
,Stylish Queen Anne Apartment,Maija,0,https://a0.muscache.com/ac/users/956883/profile_pic/1318103129/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Gilman Dr W  Seattle  WA 98119  United States,47.636289038357200,-122.37102519997800,Entire home/apt,1,1,1,850,850,,207,95,1,2,1,4
,Bright & Airy Queen Anne Apartment,Andrea,1,https://a0.muscache.com/ac/users/5177328/profile_pic/1361540767/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,7th Avenue West  Seattle  WA 98119  United States,47.63912312136250,-122.36566646439600,Entire home/apt,1,1,1,1500,1500,400,43,96,3,0,0,3
,New Modern House-Amazing water view,Jill,0,https://a1.muscache.com/ac/users/16708587/profile_pic/1428941043/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West Lee Street  Seattle  WA 98119  United States,47.629724131577400,-122.3694831756180,Entire home/apt,4,5,7,9750,9750,3000,20,97,1,2,2,5
,Queen Anne Chateau,Emily,0,https://a2.muscache.com/ac/users/9851441/profile_pic/1414045273/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,8th Avenue West  Seattle  WA 98119  United States,47.638473201766400,-122.36927912263000,Entire home/apt,1,0,2,1000,1000,,0,,2,0,2,4
,Charming craftsman 3 bdm house,Emily,0,https://a0.muscache.com/ac/users/1452570/profile_pic/1322552171/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,14th Ave W  Seattle  WA 98119  United States,47.63291840276720,-122.37247063402200,Entire home/apt,2,3,3,4500,4500,1250,38,92,3,0,1,4
,Private unit in a 1920s mansion,Andrew,0,https://a2.muscache.com/ac/users/326758/profile_pic/1433658977/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West Comstock Street  Seattle  WA 98119  United States,47.63052548240190,-122.36617406518900,Private room,1,1,1,1200,1200,400,17,95,3,0,0,3
,Queen Anne Private Bed and Bath,Gary And Beth,1,https://a0.muscache.com/ac/users/2497928/profile_pic/1384021985/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,10th Avenue West  Seattle  WA 98119  United States,47.63660544532010,-122.36851905844900,Private room,1,1,1,800,800,,58,99,2,2,0,4
,Tiny Garden cabin on Queen Anne  ,Jean-Marc,1,https://a1.muscache.com/ac/users/4016632/profile_pic/1384724659/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West Wheeler Street  Seattle  WA 98119  United States,47.64016054121470,-122.37585597885800,Private room,1,1,1,600,600,250,173,97,4,0,1,5
,Urban Charm || Downtown || Views,Aliza,0,https://a1.muscache.com/ac/users/2166277/profile_pic/1433375991/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Queen Anne Avenue North  Seattle  WA 98109  United States,47.63241029982900,-122.35721606914000,Private room,1,1,1,900,900,,8,97,1,2,0,3
,Airy + Bright Queen Anne Apartment,Andrea,1,https://a0.muscache.com/ac/users/5177328/profile_pic/1361540767/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,7th Avenue West  Seattle  WA 98119  United States,47.63749172022630,-122.36688859092100,Entire home/apt,1,1,1,1500,1500,400,32,97,3,2,0,5
,Private Apartment - Queen Anne Hill,Ray & Eileen,1,https://a2.muscache.com/ac/users/239585/profile_pic/1311271505/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,1st Ave W  Seattle  WA 98119  United States,47.63548170841020,-122.35847776162200,Entire home/apt,1,1,1,950,950,150,181,97,2,1,0,3
,Upper Queen Anne Craftsman House,Nadia,0,https://a1.muscache.com/ac/users/4606439/profile_pic/1417733189/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,3rd Avenue West  Seattle  WA 98119  United States,47.63721407513560,-122.3600457614150,Entire home/apt,1,1,1,990,990,1500,8,97,2,1,2,5
,Open Plan 2bdr/1bath in Queen Anne,Pat & Roberta,1,https://a1.muscache.com/ac/users/19932967/profile_pic/1414642653/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West Howe Street  Seattle  WA 98119  United States,47.63554551151240,-122.37317075183500,Entire home/apt,1,2,3,2450,2450,950,13,98,4,0,2,6
,Elegance in Historic Queen Anne,Ellie,0,https://a2.muscache.com/ac/pictures/5eee2738-137b-47d6-a80b-9a201ffbfd5e.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West Prospect Street  Seattle  WA 98119  United States,47.62950680923430,-122.3676292967420,Entire home/apt,1,2,3,1650,1650,850,3,100,4,1,0,5
,Stunning 6 bd in THE BEST Location!,Sarah,0,https://a2.muscache.com/ac/users/22372266/profile_pic/1413836801/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,7th Avenue West  Seattle  WA 98119  United States,47.63920265551510,-122.36586274154300,Entire home/apt,3,6,15,4610,4610,3000,18,98,5,1,0,6
,Lovely Queen Anne Cottage  2 BR,Paige,0,https://a0.muscache.com/ac/users/2983711/profile_pic/1342660361/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,12th Avenue West  Seattle  WA 98119  United States,47.63564979343860,-122.37289282480900,Entire home/apt,1,2,2,1090,1090,890,1,80,3,2,2,7
,Park Life in Lower Queen Anne,Libby,0,https://a2.muscache.com/ac/users/9465817/profile_pic/1391222779/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West Mercer Place  Seattle  WA 98119  United States,47.62620037381710,-122.36660192617600,Private room,1,1,1,660,660,350,84,95,2,1,0,3
,Private Garden Suite  Bay View,Markus And Melissa,1,https://a1.muscache.com/ac/users/25417834/profile_pic/1420171865/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,12th Avenue West  Seattle  WA 98119  United States,47.64064587578450,-122.37240588895600,Private room,1,1,1,990,990,150,45,98,5,1,1,7
,Queen Anne Getaway Near Seattle!,Sam,0,https://a2.muscache.com/ac/users/6170760/profile_pic/1367376499/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,11th Avenue West  Seattle  WA 98119  United States,47.63977587341080,-122.37223535880000,Private room,2,1,1,2000,2000,,0,,4,0,1,5
,Grand Craftsman Home on Queen Anne,Kary,0,https://a2.muscache.com/ac/users/32713558/profile_pic/1431477705/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,1st Avenue West  Seattle  WA 98119  United States,47.63602477658140,-122.35869359564700,Entire home/apt,3,5,5,7000,7000,2500,5,85,1,0,1,2
,Queen Anne View One Bedroom,Annie,0,https://a0.muscache.com/ac/users/14100483/profile_pic/1397369373/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West Olympic Place  Seattle  WA 98119  United States,47.62794033813240,-122.36495872243900,Entire home/apt,1,1,1,1100,1100,,1,100,1,2,0,3
,Cozy Queen Anne Finished Basement,Nick,0,https://a1.muscache.com/ac/users/21401856/profile_pic/1432007994/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,2nd Avenue West  Seattle  WA 98119  United States,47.636374262238800,-122.36103343324100,Private room,1,1,2,990,990,150,11,84,1,1,0,2
,Lovely Queen Anne home,Susanna,0,https://a2.muscache.com/ac/pictures/facd36b6-cf90-4eb9-aea0-7f388823f231.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,1st Avenue West  Seattle  WA 98119  United States,47.63563222417990,-122.35888090262100,Entire home/apt,2,4,4,4500,4500,,1,100,5,2,2,9
,Cozy Lower Level  Upper Queen Anne,Maggie & Alex,0,https://a2.muscache.com/ac/pictures/11543d26-5b99-4fed-87fa-83c69f278b24.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West Galer Street  Seattle  WA 98119  United States,47.63339395777790,-122.37191994372300,Private room,1,1,1,750,750,,0,,5,2,0,7
,Charming home on Queen Anne,Tracy,0,https://a1.muscache.com/ac/users/33147763/profile_pic/1431384384/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,10th Avenue West  Seattle  WA 98119  United States,47.63851671212970,-122.36958103291500,Entire home/apt,2,3,3,6000,6000,1500,1,100,3,1,1,5
,VIEW-Monthly Rental Available,Jill,0,https://a1.muscache.com/ac/users/16708587/profile_pic/1428941043/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,7th Avenue West  Seattle  WA 98119  United States,47.63139734518300,-122.36776687067900,Entire home/apt,2,3,5,4500,4500,2000,8,100,5,1,2,8
,Cute Bungalow-Close to Everything!,Lori,0,https://a2.muscache.com/ac/users/68155/profile_pic/1411529230/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West McGraw Street  Seattle  WA 98119  United States,47.63875224201260,-122.36797266885500,Entire home/apt,1,2,3,1500,1500,350,0,,1,2,2,5
,Micro Gypsy Wagon on Queen Anne,Jean-Marc,1,https://a1.muscache.com/ac/users/4016632/profile_pic/1384724659/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West Wheeler Street  Seattle  WA 98119  United States,47.63926602026100,-122.37472581108100,Private room,1,1,1,450,450,250,80,95,2,1,1,4
,STUNNING VIEW of Puget Sound,Kimberly,0,https://a2.muscache.com/ac/pictures/15d8ced5-cbd8-4221-bef1-4049bb998349.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,9th Avenue West  Seattle  WA 98119  United States,47.62990711611140,-122.36894813824900,Entire home/apt,2,3,3,3000,3000,1250,6,100,1,0,1,2
,Open Airy Queen Anne Condo,Lana,0,https://a1.muscache.com/ac/users/6184895/profile_pic/1367444908/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,14th Avenue West  Seattle  WA 98119  United States,47.63981586823570,-122.37433846349200,Entire home/apt,1,1,2,800,800,650,4,85,3,0,1,4
,Airy + Bright Queen Anne Cottage,Andrea,1,https://a0.muscache.com/ac/users/5177328/profile_pic/1361540767/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,7th Avenue West  Seattle  WA 98119  United States,47.63900777818940,-122.36532007300200,Entire home/apt,1,1,1,1750,1750,400,38,96,1,1,1,3
,Queen Anne 3 bed near everything,Blair,0,https://a0.muscache.com/ac/users/5325329/profile_pic/1366955739/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,5th Avenue West  Seattle  WA 98119  United States,47.63508504491010,-122.36444347330400,Entire home/apt,1,3,3,3250,3250,1000,68,92,4,1,2,7
,1914 Stunner View Ocean Mountain,Silvia,0,https://a1.muscache.com/ac/users/31037494/profile_pic/1428787404/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,11th Avenue West  Seattle  WA 98119  United States,47.640633234573500,-122.37270939338400,Entire home/apt,3,3,2,1750,1750,800,8,88,5,0,1,6
,Seattle Queen Anne Beauty,Vacation,0,https://a1.muscache.com/ac/users/25906186/profile_pic/1420931841/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,14th Avenue West  Seattle  WA 98119  United States,47.638121486971100,-122.37578997278500,Entire home/apt,3,4,3,2220,2220,2500,5,75,5,1,2,8
,The Hideaway- Queen Anne/downtown,Paige,0,https://a1.muscache.com/ac/users/8916363/profile_pic/1431198175/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West Galer Street  Seattle  WA 98119  United States,47.62981553345290,-122.36621233486000,Entire home/apt,1,2,2,1590,1590,990,62,97,5,0,0,5
,QUEEN ANNE VIEW ONE! - SEATTLE,Kevin,0,https://a2.muscache.com/ac/users/40335071/profile_pic/1439874792/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,12th Avenue West  Seattle  WA 98119  United States,47.639810187873800,-122.37380062876900,Entire home/apt,1,1,2,1250,1250,500,19,95,4,1,1,6
,URBAN SANCTUARY  3BR  QUEEN ANNE,Joe & Anna,0,https://a2.muscache.com/ac/users/6544973/profile_pic/1436750309/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,3rd Avenue West  Seattle  WA 98119  United States,47.63556952470360,-122.36165259464200,Entire home/apt,3,3,3,3480,3480,1500,5,96,4,2,2,8
,Cozy Homebase Close to Downtown,Chris,0,https://a2.muscache.com/ac/users/21072725/profile_pic/1410168365/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West Howe Street  Seattle  WA 98119  United States,47.63497873047920,-122.35886941246500,Private room,1,1,1,450,450,,7,97,5,2,2,9
,VIEW QUEEN ANNE! - VINTAGE SEATTLE,Kevin,0,https://a2.muscache.com/ac/users/40335071/profile_pic/1439874792/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,12th Avenue West  Seattle  WA 98119  United States,47.63936210298090,-122.37240255654500,Entire home/apt,1,1,2,1500,1500,500,2,100,1,2,0,3
,Cute little Seattle Studio!,Ruth,1,https://a0.muscache.com/ac/users/2052160/profile_pic/1435721846/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Queen Anne Avenue North  Seattle  WA 98109  United States,47.6346162843086,-122.3580227325540,Entire home/apt,1,0,1,800,800,200,11,98,1,0,0,1
,Walker's Dream on Queen Anne Hill,Henry,0,https://a2.muscache.com/ac/users/21896205/profile_pic/1411957580/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,W. Crockett St.  Seattle  WA 98119  United States,47.63800137747850,-122.36100481691400,Entire home/apt,1,1,2,1100,1100,400,71,90,4,2,0,6
,DARLING VINTAGE COTTAGE  QUEEN ANNE,Debera,0,https://a1.muscache.com/ac/users/8242272/profile_pic/1385577467/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,-11th Ave. W.  Seattle  WA 98119  United States,47.63199585097700,-122.3716576650490,Entire home/apt,1,1,2,1480,1480,1000,9,91,3,1,1,5
,Modern Eco-Friendly View Retreat,Holly,0,https://a2.muscache.com/ac/users/2315558/profile_pic/1402002254/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,11th Avenue West  Seattle  WA 98119  United States,47.63868624334980,-122.37079986877500,Entire home/apt,1,2,2,3500,3500,1000,41,98,4,2,2,8
,Beautiful 1 Bedrm in Queen Anne,Nicole,1,https://a2.muscache.com/ac/users/17597607/profile_pic/1437414735/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,3rd Avenue West  Seattle  WA 98119  United States,47.633650043720500,-122.36044969320200,Entire home/apt,1,1,2,1500,1500,500,18,98,2,2,0,4
,One bedroom with Lounge,Sam,0,https://a1.muscache.com/ac/users/34392395/profile_pic/1440047542/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,1st Avenue North  Seattle  WA 98109  United States,47.63430017546050,-122.35705980444600,Private room,1,1,1,1500,1500,,9,100,1,0,0,1
,LOWER QUEEN ANNE STUDIO W/PATIO,Marina,0,https://a2.muscache.com/ac/pictures/7bb1e98f-c4ef-42e6-b0ce-a8ee6d8df14a.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West Olympic Place  Seattle  WA 98119  United States,47.628343869748100,-122.36640542138000,Entire home/apt,1,0,1,1000,1000,,20,92,2,0,0,2
,Queen Anne Craftsman,Maureen,0,https://a2.muscache.com/ac/users/12867960/profile_pic/1397145384/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,10th Avenue West  Seattle  WA 98119  United States,47.63539394059410,-122.36899114110700,Entire home/apt,3,4,4,3490,3490,2000,0,,3,1,0,4
,Queen Anne Hill Craftsman studio,Jennifer,0,https://a1.muscache.com/ac/users/3502513/profile_pic/1442944039/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,3rd Avenue West  Seattle  WA 98119  United States,47.63803515893720,-122.36091010563600,Entire home/apt,1,0,1,1100,1100,500,3,100,2,0,0,2
,Craftsman House Near Everything,Christine,0,https://a0.muscache.com/ac/users/27606550/profile_pic/1426201034/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West Boston Street  Seattle  WA 98119  United States,47.63933158548950,-122.36159942269500,Entire home/apt,1,1,2,1600,1600,550,1,100,2,1,1,4
,Seattle Backyard Cottage-Queen Anne,Annie,0,https://a1.muscache.com/ac/users/5856339/profile_pic/1413789611/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,6th Avenue West  Seattle  WA 98119  United States,47.635308051455400,-122.36653170901200,Entire home/apt,1,1,3,1300,1300,750,26,95,3,1,1,5
,:: Carriage House :: Queen Anne ::,Michael,0,https://a2.muscache.com/ac/users/40885963/profile_pic/1439062048/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,10th Avenue West  Seattle  WA 98119  United States,47.637374884138500,-122.36941092468900,Entire home/apt,1,0,1,990,990,500,2,100,1,2,0,3
,STUDIO APARTMENT WITH A VIEW,Anisa,0,https://a2.muscache.com/ac/pictures/dbe54617-333b-46ea-a1ee-8aec39f814e4.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,13th Avenue West  Seattle  WA 98119  United States,47.63829756707330,-122.37377871072100,Entire home/apt,1,0,1,1000,1000,400,0,,3,2,0,5
,Top Floor Apt. W/ Spectacular View!,Elise,0,https://a0.muscache.com/ac/users/3521823/profile_pic/1440619244/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,10th Avenue West  Seattle  WA 98119  United States,47.63175343884970,-122.37127173011600,Entire home/apt,1,1,1,1370,1370,200,3,100,1,1,1,3
,Cozy  cute  Queen Anne living,Ana,0,https://a2.muscache.com/ac/pictures/efa4c137-eb0c-4124-8bec-50fbfa64d4d1.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,14th Avenue West  Seattle  WA 98119  United States,47.63858056073180,-122.3753257408230,Private room,1,1,1,200,200,,0,,3,2,0,5
,Beautiful  Modern Townhouse,Manomi,0,https://a0.muscache.com/ac/users/1039322/profile_pic/1335979074/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,8th Avenue West  Seattle  WA 98119  United States,47.63788372174490,-122.3673710937780,Entire home/apt,1,1,1,1500,1500,500,0,,5,2,0,7
,Located in the heart of Queen Anne,Kurt & Anna,0,https://a2.muscache.com/ac/pictures/d18e5088-1613-4ec3-a068-3326658f190d.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,3rd Avenue West  Seattle  WA 98119  United States,47.63751734544930,-122.36081167446400,Entire home/apt,1,1,1,1450,1450,300,44,94,2,1,0,3
,Cozy room in Modern Queen Anne Home,Shiri,0,https://a1.muscache.com/ac/users/15155647/profile_pic/1442534699/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Gilman Drive West  Seattle  WA 98119  United States,47.63687417802140,-122.37227171191200,Private room,1,1,1,800,800,,10,100,2,0,2,4
,Stand alone Guest Cottage,Diane,1,https://a2.muscache.com/ac/users/12171359/profile_pic/1422150080/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,6th Avenue West  Seattle  WA 98119  United States,47.632562742655700,-122.36722284674100,Entire home/apt,1,0,1,950,950,600,77,98,4,2,1,7
,Beautiful West Queen Anne Craftsman,Irmela,0,https://a2.muscache.com/ac/users/23669617/profile_pic/1415829076/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,7th Avenue West  Seattle  WA 98119  United States,47.63532192210430,-122.36612114800700,Entire home/apt,2,3,3,4000,4000,1200,0,,1,0,2,3
,Bright & Airy room w/ 1M views,Zachary,0,https://a2.muscache.com/ac/pictures/4656114e-07da-4df4-abf9-4357bc6e24d3.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,9th Avenue West  Seattle  WA 98119  United States,47.63263390932940,-122.36931844777400,Private room,2,1,1,850,850,,2,100,3,0,0,3
,Private room in upper QA w/ view!,Elise,0,https://a0.muscache.com/ac/users/3521823/profile_pic/1440619244/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,10th Avenue West  Seattle  WA 98119  United States,47.63260003819550,-122.36995243412600,Private room,1,1,1,700,700,200,1,100,4,2,2,8
,Suite Garage on Queen Anne,Jean-Marc,1,https://a1.muscache.com/ac/users/4016632/profile_pic/1384724659/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West Wheeler Street  Seattle  WA 98119  United States,47.64105215050510,-122.37508173306400,Entire home/apt,1,0,1,900,900,250,109,97,3,1,2,6
,Peaceful Queen Anne Getaway,Ruth,0,https://a2.muscache.com/ac/users/33524725/profile_pic/1432088062/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,9th Avenue West  Seattle  WA 98119  United States,47.63140094589970,-122.3676901333060,Private room,1,1,1,800,800,,52,92,5,0,2,7
,Hand crafted Gypsy Wagon with heart,Jean-Marc,1,https://a1.muscache.com/ac/users/4016632/profile_pic/1384724659/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,W Wheeler St  Seattle  WA 98119  United States,47.64152492560980,-122.37615037245100,Private room,1,1,2,600,600,250,191,97,4,2,2,8
,Cozy 2 BR/1 BA Queen Anne Home,Nell & Andreas,0,https://a2.muscache.com/ac/pictures/2aa92836-50ff-47d8-a6bb-8f66c802f7ad.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,5th Avenue West  Seattle  WA 98119  United States,47.635310702971800,-122.36350557505100,Entire home/apt,1,2,2,1750,1750,780,0,,5,1,0,6
,Modern Townhouse  Heart of Ballard!,Dina,0,https://a2.muscache.com/ac/users/2843411/profile_pic/1438027643/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,28th Ave NW  Seattle  WA 98107  United States,47.669327174719700,-122.39259356469400,Entire home/apt,2,3,4,1700,1700,1000,9,91,4,0,0,4
,Cozy Ballard Apartment,Kim,0,https://a0.muscache.com/ac/users/18232665/profile_pic/1408049343/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 61st Street  Seattle  WA 98107  United States,47.674074155575400,-122.39386405032900,Entire home/apt,1,1,1,850,850,500,65,98,4,2,0,6
,Plum Modern - 5 bdrm Tranquility,Mercy,1,https://a0.muscache.com/ac/users/28770702/profile_pic/1425512645/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 61st Street  Seattle  WA 98107  United States,47.67362807262790,-122.38930195133100,Entire home/apt,3,5,7,4650,4650,2500,5,96,2,2,0,4
,1BR-Ultra Hip Ballard-Walk to Bars!,Mckinzy,0,https://a2.muscache.com/ac/users/5326074/profile_pic/1381459117/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 56th Street  Seattle  WA 98107  United States,47.6684599605579,-122.37951599522200,Entire home/apt,1,1,1,1750,1750,500,5,96,4,0,1,5
,Cozy BR in heart of lively Ballard,Sophia,0,https://a2.muscache.com/ac/users/31887689/profile_pic/1429936982/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,NW 57th St  Seattle  WA 98107  United States,47.670662322939700,-122.37866592236700,Private room,1,1,1,500,500,,0,,4,1,2,7
,Modern  Cozy 1 Bedroom Apartment,Brooke,0,https://a2.muscache.com/ac/pictures/29397606-e0a2-4b32-81ab-0027a9671e00.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 59th Street  Seattle  WA 98107  United States,47.67264618041160,-122.38933302722600,Private room,1,1,1,600,600,,0,,1,1,1,3
,Urban cottage in heart of Ballard,Andrea,0,https://a2.muscache.com/ac/pictures/e42104c0-222f-4449-8d46-1c38d005d5d8.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 61st Street  Seattle  WA 98107  United States,47.67317538409770,-122.38225959936200,Private room,1,1,1,590,590,120,16,93,3,1,1,5
,**Be in the MIDDLE OF EVERYTHING!*,Lauren,0,https://a2.muscache.com/ac/users/841009/profile_pic/1375854741/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest Market Street  Seattle  WA 98107  United States,47.66793300136610,-122.37865246762100,Private room,1,1,4,470,470,150,23,77,5,1,1,7
,Cute Cottage in Sunny Ballard,Fleur,0,https://a1.muscache.com/ac/users/6296335/profile_pic/1392253225/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,26th Avenue Northwest  Seattle  WA 98107  United States,47.67296864487420,-122.39733818247200,Entire home/apt,1,2,2,1450,1450,450,45,97,1,1,1,3
